yyyy,mm,tmax,tmin,af,rain,sun,whitby
degc,degc,days,mm,hours,whitby
1978,3,---,2.2,4,30.6,145.9$,whitby
1978,4,7.6,2.3,3,29.0,108.5$,whitby
1978,5,11.7,6.6,0,53.7,202.8$,whitby
1978,6,15.6,9.0,0,36.2,169.3$,whitby
1978,7,16.4,9.9,0,102.2,164.5$,whitby
1978,8,16.2,11.3,0,86.3,86.5$,whitby
1978,9,16.5,10.3,0,50.1,141.3$,whitby
1978,10,14.4,8.8,0,18.9,107.3$,whitby
1978,11,11.4,5.5,3,27.3,86.9$,whitby
1978,12,6.6,1.6,11,108.8,22.9$,whitby
1979,1,3.5,-2.2,22,44.9,50.7$,whitby
1979,2,3.6,-0.5,16,30.7,51.8$,whitby
1979,3,7.0,1.5,8,83.2,96.7$,whitby
1979,4,9.3,3.8,0,37.6,113.4$,whitby
1979,5,12.2,5.3,2,106.0,190.5$,whitby
1979,6,15.8,8.9,0,35.3,197.4$,whitby
1979,7,18.4,11.5,0,26.1,181.5$,whitby
1979,8,17.2,10.1,0,57.8,160.0$,whitby
1979,9,16.7,8.4,0,20.8,180.7$,whitby
1979,10,13.2,8.0,0,65.8,96.1$,whitby
1979,11,9.5,3.4,4,44.7,78.8$,whitby
1979,12,7.8,3.8,2,107.9,51.8$,whitby
1980,1,4.7,0.5,12,76.5,39.2$,whitby
1980,2,7.2,2.5,5,44.3,38.7$,whitby
1980,3,6.5,1.3,8,56.0,96.5$,whitby
1980,4,9.8,4.7,0,11.4,156.9$,whitby
1980,5,---,5.7,0,12.2,234.1$,whitby
1980,6,16.2,9.8,0,85.8,161.0$,whitby
1980,7,16.4,10.7,0,51.1,153.3$,whitby
1980,8,18.0,11.5,0,107.2,147.8$,whitby
1980,9,17.6,10.8,0,30.0,152.4$,whitby
1980,10,11.6,5.5,1,76.5,109.8$,whitby
1980,11,9.3,5.0,1,44.8,44.9$,whitby
1980,12,8.9,2.3,6,36.4,41.4$,whitby
1981,1,7.6,1.0,11,20.4,70.5$,whitby
1981,2,5.9,0.8,11,38.7,75.6$,whitby
1981,3,9.2,3.6,1,88.6,72.2$,whitby
1981,4,8.9,4.0,3,31.2,116.7$,whitby
1981,5,13.6,6.9,0,40.9,198.1$,whitby
1981,6,16.0,9.6,0,15.9,183.7$,whitby
1981,7,17.9,11.4,0,107.0,183.4$,whitby
1981,8,18.5,11.7,0,42.2,166.8$,whitby
1981,9,17.8,10.4,0,80.9,178.2$,whitby
1981,10,---,---,---,---,141.7$,whitby
1981,11,10.3,4.1,1,45.6,63.1$,whitby
1981,12,4.2,-1.9,18,76.7,46.3$,whitby
1982,1,6.0,-0.4,14,39.7,---,$,whitby
1982,2,7.3,1.7,7,14.9,79.4$,whitby
1982,3,8.4,2.3,3,52.2,166.1$,whitby
1982,4,10.7,4.3,0,5.9,176.3$,whitby
1982,5,13.9,6.1,1,17.2,232.5$,whitby
1982,6,15.6,10.2,0,171.8,139.3$,whitby
1982,7,17.6,11.7,0,13.5,171.0$,whitby
1982,8,18.0,11.8,0,52.4,164.9$,whitby
1982,9,17.8,10.0,0,34.3,181.8$,whitby
1982,10,12.3,7.1,0,53.2,55.7$,whitby
1982,11,9.7,4.6,2,59.7,64.0$,whitby
1982,12,6.8,0.7,13,51.6,52.0$,whitby
1983,1,9.0,2.9,3,27.0,75.5$,whitby
1983,2,4.5,-0.5,16,14.3,72.2$,whitby
1983,3,9.1,3.5,2,34.0,94.4$,whitby
1983,4,8.3,2.6,3,93.1,127.5$,whitby
1983,5,10.8,5.7,0,63.6,131.5$,whitby
1983,6,15.4,9.1,0,24.3,181.7$,whitby
1983,7,19.4,12.5,0,30.9,203.5$,whitby
1983,8,18.7,12.0,0,46.2,172.7$,whitby
1983,9,16.2,9.8,0,60.3,135.5$,whitby
1983,10,13.2,8.2,0,45.4,131.7$,whitby
1983,11,9.7,5.2,3,33.4,38.4$,whitby
1983,12,8.2,2.8,6,73.6,38.8$,whitby
1984,1,5.5,1.5,5,86.0,65.6$,whitby
1984,2,5.8,1.0,8,29.4,69.1$,whitby
1984,3,6.0,2.5,1,59.9,71.6$,whitby
1984,4,10.1,2.9,5,11.6,207.9$,whitby
1984,5,10.3,5.1,3,37.6,184.6$,whitby
1984,6,15.8,9.8,0,50.7,177.0$,whitby
1984,7,18.4,11.3,0,38.0,194.7$,whitby
1984,8,18.5,12.0,0,53.8,207.5$,whitby
1984,9,15.5,10.6,0,78.1,114.5$,whitby
1984,10,14.1,7.3,0,44.9,129.8$,whitby
1984,11,10.1,6.4,0,110.9,54.2$,whitby
1984,12,7.8,2.8,6,---,60.2$,whitby
1985,1,4.5,-0.5,16,54.4,28.3$,whitby
1985,2,5.3,-0.2,14,3.7,86.3$,whitby
1985,3,7.6,1.4,9,51.5,136.4$,whitby
1985,4,10.5,4.9,1,53.1,115.4$,whitby
1985,5,11.5,6.2,0,82.6,136.8$,whitby
1985,6,14.2,7.9,0,33.6,195.1$,whitby
1985,7,18.2,11.8,0,78.0,191.9$,whitby
1985,8,---,---,---,48.2,172.9$,whitby
1985,9,17.2,10.4,0,37.0,120.1$,whitby
1985,10,13.8,7.9,0,23.0,127.9$,whitby
1985,11,7.2,2.2,5,80.2,84.3$,whitby
1985,12,8.3,4.0,7,48.9,38.6$,whitby
1986,1,5.9,0.4,12,63.7,58.2$,whitby
1986,2,2.2,-1.8,20,23.1,58.6$,whitby
1986,3,8.2,1.2,6,38.9,153.6$,whitby
1986,4,7.8,1.8,5,68.2,127.5$,whitby
1986,5,14.3,7.3,0,87.6,242.5$,whitby
1986,6,16.0,9.3,0,25.1,211.9$,whitby
1986,7,18.8,11.5,0,25.4,175.0$,whitby
1986,8,15.3,9.4,0,97.8,122.1$,whitby
1986,9,15.3,7.2,0,21.7,213.2$,whitby
1986,10,13.6,7.0,0,38.3,153.6$,whitby
1986,11,10.6,4.3,0,26.1,88.5$,whitby
1986,12,8.6,2.5,2,99.8,51.5$,whitby
1987,1,3.9,-0.7,16,31.5,41.6$,whitby
1987,2,6.8,1.0,11,31.4,77.0$,whitby
1987,3,6.4,0.4,12,75.1,99.8$,whitby
1987,4,12.4,5.7,0,59.4,149.7$,whitby
1987,5,11.1,5.2,0,25.3,161.9$,whitby
1987,6,14.1,8.3,0,80.4,116.6$,whitby
1987,7,17.4,11.7,0,59.2,167.1$,whitby
1987,8,17.4,11.5,0,66.7,129.7$,whitby
1987,9,16.4,9.0,0,44.5,183.0$,whitby
1987,10,12.3,5.8,1,96.3,120.2$,whitby
1987,11,9.0,4.3,2,27.6,52.6$,whitby
1987,12,8.7,3.7,5,30.4,32.4$,whitby
1988,1,7.2,2.5,1,62.3,52.3$,whitby
1988,2,7.2,2.2,5,50.9,118.1$,whitby
1988,3,8.3,2.4,5,63.8,111.0$,whitby
1988,4,10.2,4.0,4,39.3,110.6$,whitby
1988,5,12.4,6.4,0,33.6,177.4$,whitby
1988,6,15.7,9.3,0,14.4,189.1$,whitby
1988,7,17.2,10.8,0,76.3,166.1$,whitby
1988,8,18.0,10.9,0,44.8,207.2$,whitby
1988,9,16.0,9.3,0,33.3,153.3$,whitby
1988,10,12.3,7.4,0,75.9,94.2$,whitby
1988,11,9.0,3.1,2,65.0,100.7$,whitby
1988,12,10.0,4.7,0,15.6,64.9$,whitby
1989,1,9.1,3.0,0,10.7,71.7$,whitby
1989,2,9.1,1.7,7,32.0,112.7$,whitby
1989,3,10.3,1.7,8,32.9,129.5$,whitby
1989,4,8.6,1.6,5,32.5,135.1$,whitby
1989,5,14.8,5.8,0,18.5,269.4$,whitby
1989,6,17.1,8.1,0,50.6,250.0$,whitby
1989,7,19.3,12.1,0,21.2,258.5$,whitby
1989,8,19.7,11.7,0,34.3,234.3$,whitby
1989,9,17.5,10.3,0,22.4,131.5$,whitby
1989,10,14.3,8.6,0,43.1,93.7$,whitby
