yyyy,mm,tmax,tmin,af,rain,sun,chivenor
degc,degc,days,mm,hours,chivenor
1997,8,22.0,15.7,0,131.6,---,chivenor
1997,9,19.3,11.3,0,30.2,---,chivenor
1997,10,16.0,9.0,0,98.6,---,chivenor
1997,11,13.1,6.9,0,145.6,---,chivenor
1997,12,10.6,4.8,4,72.0,---,chivenor
1998,1,9.5,3.8,6,106.8,---,chivenor
1998,2,11.9,4.6,4,26.8,---,chivenor
1998,3,11.8,6.1,1,92.2,---,chivenor
1998,4,11.9,5.5,0,108.2,---,chivenor
1998,5,18.3,9.5,0,34.0,---,chivenor
1998,6,18.1,12.0,0,107.0,---,chivenor
1998,7,18.7,13.3,0,77.0,---,chivenor
1998,8,20.0,12.5,0,30.0,---,chivenor
1998,9,18.8,12.5,0,80.6,---,chivenor
1998,10,15.1,9.6,0,160.8,---,chivenor
1998,11,11.1,5.7,1,97.8,---,chivenor
1998,12,10.6,4.0,6,90.2,---,chivenor
1999,1,10.5,4.4,5,125.6,---,chivenor
1999,2,9.3,4.5,1,70.2,---,chivenor
1999,3,11.2,4.7,1,39.4,---,chivenor
1999,4,13.4,7.2,1,83.2,---,chivenor
1999,5,17.3,10.4,0,40.4,---,chivenor
1999,6,18.0,10.4,0,81.0,---,chivenor
1999,7,21.9,13.8,0,19.2,---,chivenor
1999,8,21.2,13.6,0,92.2,---,chivenor
1999,9,20.0,11.8,0,106.6,---,chivenor
1999,10,15.3,8.6,0,91.4,---,chivenor
1999,11,12.2,6.5,1,59.8,---,chivenor
1999,12,10.0,4.9,3,214.6,---,chivenor
2000,1,9.1,2.6,7,38.8,---,chivenor
2000,2,10.5,5.1,1,110.0,---,chivenor
2000,3,11.4,4.9,0,36.6,---,chivenor
2000,4,12.4,5.0,2,109.0,---,chivenor
2000,5,16.7,9.2,0,103.4,---,chivenor
2000,6,19.0,11.6,0,32.6,---,chivenor
2000,7,19.9,12.9,0,119.0,---,chivenor
2000,8,20.6,14.0,0,82.4,---,chivenor
2000,9,19.1,12.3,0,137.8,---,chivenor
2000,10,14.6,8.8,0,228.2,---,chivenor
2000,11,11.2,5.9,0,220.2,---,chivenor
2000,12,10.0,5.3,4,155.6,---,chivenor
2001,1,8.3,2.7,7,78.6,---,chivenor
2001,2,9.6,3.1,8,69.6,---,chivenor
2001,3,10.1,4.2,4,91.0,---,chivenor
2001,4,12.0,5.5,0,82.6,---,chivenor
2001,5,17.7,9.0,0,22.4,---,chivenor
2001,6,19.1,10.4,0,45.6,---,chivenor
2001,7,20.6,13.0,0,62.0,---,chivenor
2001,8,20.9,13.9,0,58.0,---,chivenor
2001,9,18.6,11.9,0,29.6,---,chivenor
2001,10,17.7,11.5,0,112.6,---,chivenor
2001,11,12.6,5.4,1,90.2,---,chivenor
2001,12,8.9,2.0,9,37.2,---,chivenor
2002,1,10.3,4.8,3,95.8,---,chivenor
2002,2,11.1,5.4,3,124.8,---,chivenor
2002,3,12.2,5.5,0,44.4,---,chivenor
2002,4,13.5,5.9,1,49.2,---,chivenor
2002,5,16.0,8.6,0,114.4,---,chivenor
2002,6,17.2,11.2,0,41.2,---,chivenor
2002,7,---,12.4,0,50.6,---,chivenor
